Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Italia,HOTELLIKE,Nuova Zelanda,2008-02-01,1746.0,5425.0
Italia,HOTELLIKE,Paesi Bassi,2008-02-01,47801.0,196572.0
Italia,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-02-01,7002.0,22650.0
Italia,HOTELLIKE,Paesi esteri,2008-02-01,1824052.0,6305486.0
Italia,HOTELLIKE,Polonia,2008-02-01,50004.0,280673.0
Italia,HOTELLIKE,Portogallo,2008-02-01,12815.0,38846.0
Italia,HOTELLIKE,Regno unito,2008-02-01,166838.0,635515.0
Italia,HOTELLIKE,Romania,2008-02-01,26780.0,104127.0
Italia,HOTELLIKE,Russia,2008-02-01,53142.0,196808.0
Italia,HOTELLIKE,Slovacchia,2008-02-01,5457.0,26242.0
Italia,HOTELLIKE,Slovenia,2008-02-01,14607.0,64290.0
Italia,HOTELLIKE,Spagna,2008-02-01,98935.0,253350.0
Italia,HOTELLIKE,Stati Uniti,2008-02-01,114642.0,340971.0
Italia,HOTELLIKE,Sud Africa,2008-02-01,2243.0,8975.0
Italia,HOTELLIKE,Svezia,2008-02-01,29281.0,133473.0
Italia,HOTELLIKE,Turchia,2008-02-01,10082.0,30494.0
Italia,HOTELLIKE,Ungheria,2008-02-01,15366.0,62305.0
Italia,HOTELLIKE,Venezuela,2008-02-01,1447.0,4568.0
Italia,OTHER,Altri,2008-02-01,2333.0,11696.0
Italia,OTHER,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-02-01,261.0,3910.0
Italia,OTHER,Altri Paesi dell'Asia,2008-02-01,653.0,3541.0
Italia,OTHER,Altri paesi africani,2008-02-01,352.0,4419.0
Italia,OTHER,Altri paesi europei,2008-02-01,3081.0,39987.0
Italia,OTHER,Argentina,2008-02-01,1154.0,4267.0
Italia,OTHER,Australia,2008-02-01,1738.0,6201.0
Italia,OTHER,Austria,2008-02-01,5294.0,23624.0
Italia,OTHER,Belgio,2008-02-01,3494.0,15870.0
Italia,OTHER,Brasile,2008-02-01,2216.0,10276.0
Italia,OTHER,Bulgaria,2008-02-01,402.0,2968.0
