Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Abruzzo,OTHER,Sud Africa,2008-02-01,1.0,5.0
Abruzzo,OTHER,Svezia,2008-02-01,9.0,48.0
Abruzzo,OTHER,Turchia,2008-02-01,2.0,7.0
Abruzzo,OTHER,Ungheria,2008-02-01,11.0,77.0
Abruzzo,OTHER,Venezuela,2008-02-01,1.0,3.0
Abruzzo,HOTELLIKE,Altri,2008-03-01,112.0,260.0
Abruzzo,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-03-01,27.0,92.0
Abruzzo,HOTELLIKE,Altri Paesi dell'Asia,2008-03-01,60.0,162.0
Abruzzo,HOTELLIKE,Altri paesi africani,2008-03-01,19.0,59.0
Abruzzo,HOTELLIKE,Altri paesi europei,2008-03-01,162.0,525.0
Abruzzo,HOTELLIKE,Argentina,2008-03-01,29.0,80.0
Abruzzo,HOTELLIKE,Australia,2008-03-01,54.0,145.0
Abruzzo,HOTELLIKE,Austria,2008-03-01,208.0,667.0
Abruzzo,HOTELLIKE,Belgio,2008-03-01,267.0,881.0
Abruzzo,HOTELLIKE,Brasile,2008-03-01,66.0,168.0
Abruzzo,HOTELLIKE,Bulgaria,2008-03-01,20.0,64.0
Abruzzo,HOTELLIKE,Canada,2008-03-01,111.0,274.0
Abruzzo,HOTELLIKE,"Ceca, Repubblica",2008-03-01,116.0,561.0
Abruzzo,HOTELLIKE,Cina,2008-03-01,120.0,218.0
Abruzzo,HOTELLIKE,Cipro,2008-03-01,4.0,9.0
Abruzzo,HOTELLIKE,Corea del sud,2008-03-01,50.0,87.0
Abruzzo,HOTELLIKE,Croazia,2008-03-01,39.0,105.0
Abruzzo,HOTELLIKE,Danimarca,2008-03-01,69.0,282.0
Abruzzo,HOTELLIKE,Egitto,2008-03-01,8.0,27.0
Abruzzo,HOTELLIKE,Estonia,2008-03-01,11.0,28.0
Abruzzo,HOTELLIKE,Finlandia,2008-03-01,48.0,157.0
Abruzzo,HOTELLIKE,Francia,2008-03-01,463.0,1180.0
Abruzzo,HOTELLIKE,Germania,2008-03-01,1479.0,6709.0
Abruzzo,HOTELLIKE,Giappone,2008-03-01,372.0,724.0
Abruzzo,HOTELLIKE,Grecia,2008-03-01,67.0,191.0
Abruzzo,HOTELLIKE,India,2008-03-01,18.0,48.0
Abruzzo,HOTELLIKE,Irlanda,2008-03-01,109.0,394.0
Abruzzo,HOTELLIKE,Islanda,2008-03-01,6.0,26.0
Abruzzo,HOTELLIKE,Israele,2008-03-01,39.0,121.0
Abruzzo,HOTELLIKE,Italia,2008-03-01,8971.0,23607.0
Abruzzo,HOTELLIKE,Lettonia,2008-03-01,10.0,40.0
Abruzzo,HOTELLIKE,Lituania,2008-03-01,27.0,59.0
Abruzzo,HOTELLIKE,Lussemburgo,2008-03-01,10.0,36.0
Abruzzo,HOTELLIKE,Malta,2008-03-01,9.0,27.0
Abruzzo,HOTELLIKE,Messico,2008-03-01,38.0,81.0
Abruzzo,HOTELLIKE,Norvegia,2008-03-01,53.0,185.0
Abruzzo,HOTELLIKE,Nuova Zelanda,2008-03-01,9.0,23.0
Abruzzo,HOTELLIKE,Paesi Bassi,2008-03-01,129.0,461.0
Abruzzo,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-03-01,20.0,71.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-03-01,7273.0,23891.0
Abruzzo,HOTELLIKE,Polonia,2008-03-01,163.0,708.0
Abruzzo,HOTELLIKE,Portogallo,2008-03-01,44.0,140.0
Abruzzo,HOTELLIKE,Regno unito,2008-03-01,589.0,2005.0
Abruzzo,HOTELLIKE,Romania,2008-03-01,81.0,322.0
Abruzzo,HOTELLIKE,Russia,2008-03-01,200.0,617.0
Abruzzo,HOTELLIKE,Slovacchia,2008-03-01,17.0,75.0
Abruzzo,HOTELLIKE,Slovenia,2008-03-01,31.0,91.0
Abruzzo,HOTELLIKE,Spagna,2008-03-01,471.0,1190.0
Abruzzo,HOTELLIKE,Stati Uniti,2008-03-01,793.0,2044.0
Abruzzo,HOTELLIKE,Sud Africa,2008-03-01,10.0,36.0
Abruzzo,HOTELLIKE,Svezia,2008-03-01,104.0,415.0
Abruzzo,HOTELLIKE,Turchia,2008-03-01,26.0,76.0
Abruzzo,HOTELLIKE,Ungheria,2008-03-01,49.0,179.0
Abruzzo,HOTELLIKE,Venezuela,2008-03-01,11.0,27.0
Abruzzo,OTHER,Altri,2008-03-01,9.0,41.0
Abruzzo,OTHER,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-03-01,2.0,13.0
Abruzzo,OTHER,Altri Paesi dell'Asia,2008-03-01,4.0,16.0
Abruzzo,OTHER,Altri paesi africani,2008-03-01,2.0,16.0
Abruzzo,OTHER,Altri paesi europei,2008-03-01,12.0,104.0
Abruzzo,OTHER,Argentina,2008-03-01,4.0,12.0
Abruzzo,OTHER,Australia,2008-03-01,9.0,28.0
Abruzzo,OTHER,Austria,2008-03-01,28.0,126.0
Abruzzo,OTHER,Belgio,2008-03-01,19.0,72.0
Abruzzo,OTHER,Brasile,2008-03-01,6.0,30.0
Abruzzo,OTHER,Bulgaria,2008-03-01,2.0,8.0
Abruzzo,OTHER,Canada,2008-03-01,11.0,38.0
Abruzzo,OTHER,"Ceca, Repubblica",2008-03-01,37.0,213.0
Abruzzo,OTHER,Cina,2008-03-01,7.0,23.0
Abruzzo,OTHER,Cipro,2008-03-01,1.0,1.0
Abruzzo,OTHER,Corea del sud,2008-03-01,3.0,7.0
Abruzzo,OTHER,Croazia,2008-03-01,5.0,32.0
Abruzzo,OTHER,Danimarca,2008-03-01,11.0,58.0
Abruzzo,OTHER,Egitto,2008-03-01,1.0,6.0
Abruzzo,OTHER,Estonia,2008-03-01,1.0,4.0
Abruzzo,OTHER,Finlandia,2008-03-01,4.0,17.0
Abruzzo,OTHER,Francia,2008-03-01,42.0,140.0
Abruzzo,OTHER,Germania,2008-03-01,281.0,1540.0
Abruzzo,OTHER,Giappone,2008-03-01,17.0,46.0
Abruzzo,OTHER,Grecia,2008-03-01,4.0,15.0
Abruzzo,OTHER,India,2008-03-01,2.0,13.0
Abruzzo,OTHER,Irlanda,2008-03-01,11.0,45.0
Abruzzo,OTHER,Islanda,2008-03-01,1.0,3.0
Abruzzo,OTHER,Israele,2008-03-01,2.0,10.0
Abruzzo,OTHER,Italia,2008-03-01,1229.0,5538.0
Abruzzo,OTHER,Lettonia,2008-03-01,2.0,8.0
Abruzzo,OTHER,Lituania,2008-03-01,3.0,11.0
Abruzzo,OTHER,Lussemburgo,2008-03-01,1.0,4.0
Abruzzo,OTHER,Malta,2008-03-01,1.0,6.0
Abruzzo,OTHER,Messico,2008-03-01,4.0,10.0
Abruzzo,OTHER,Norvegia,2008-03-01,5.0,18.0
Abruzzo,OTHER,Nuova Zelanda,2008-03-01,2.0,5.0
Abruzzo,OTHER,Paesi Bassi,2008-03-01,16.0,76.0
Abruzzo,OTHER,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-03-01,2.0,23.0
Abruzzo,OTHER,Paesi esteri,2008-03-01,836.0,4025.0
Abruzzo,OTHER,Polonia,2008-03-01,26.0,147.0
Abruzzo,OTHER,Portogallo,2008-03-01,5.0,22.0
Abruzzo,OTHER,Regno unito,2008-03-01,55.0,225.0
Abruzzo,OTHER,Romania,2008-03-01,9.0,97.0
