TIME,percentage_arrivals,percentage_attendance
2017-04-01,0.19135027875588273,0.19204657766607383
2017-05-01,0.2912032702737603,0.29276667930197714
2017-06-01,0.3993911816305006,0.5431399095897265
2017-07-01,0.45410917016924,0.6370964240323045
2017-08-01,0.3615537406269892,0.5052663535874505
2017-09-01,0.31938742008730653,0.4394828117497158
2017-10-01,0.22205324424238992,0.22529443631493803
2017-11-01,0.25837084111694164,0.26607347494293676
2017-12-01,0.22126559905736168,0.21852704970591597
2018-01-01,0.20854700103878193,0.172868879141567
2018-02-01,0.1970128027857761,0.18798625028520233
2018-03-01,0.1777099528272714,0.16772972618303503
2018-04-01,0.24025746383750443,0.2403308009153851
2018-05-01,0.3238923608730335,0.35715222751338277
2018-06-01,0.40810065487575303,0.5201318708086381
2018-07-01,0.45119776978184056,0.6321945790863713
