Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Abruzzo,HOTELLIKE,Paesi esteri,2009-02-01,4637,16522
Abruzzo,OTHER,Italia,2009-02-01,6618,20417
Abruzzo,OTHER,Paesi esteri,2009-02-01,308,1925
Chieti,HOTELLIKE,Italia,2009-02-01,13247,34898
Chieti,HOTELLIKE,Paesi esteri,2009-02-01,914,2689
Chieti,OTHER,Italia,2009-02-01,849,4470
Chieti,OTHER,Paesi esteri,2009-02-01,50,636
L'Aquila,HOTELLIKE,Italia,2009-02-01,52527,155994
L'Aquila,HOTELLIKE,Paesi esteri,2009-02-01,1194,4256
L'Aquila,OTHER,Italia,2009-02-01,4870,13016
L'Aquila,OTHER,Paesi esteri,2009-02-01,187,706
Pescara,HOTELLIKE,Italia,2009-02-01,15510,28094
Pescara,HOTELLIKE,Paesi esteri,2009-02-01,1581,5547
Pescara,OTHER,Italia,2009-02-01,479,1802
Pescara,OTHER,Paesi esteri,2009-02-01,42,329
Teramo,HOTELLIKE,Italia,2009-02-01,10959,30902
Teramo,HOTELLIKE,Paesi esteri,2009-02-01,948,4030
Teramo,OTHER,Italia,2009-02-01,420,1129
Teramo,OTHER,Paesi esteri,2009-02-01,29,254
Abruzzo,HOTELLIKE,Italia,2009-03-01,74754,206084
Abruzzo,HOTELLIKE,Paesi esteri,2009-03-01,5658,20201
Abruzzo,OTHER,Italia,2009-03-01,4875,17433
Abruzzo,OTHER,Paesi esteri,2009-03-01,267,1803
Chieti,HOTELLIKE,Italia,2009-03-01,14364,36374
Chieti,HOTELLIKE,Paesi esteri,2009-03-01,1578,4892
Chieti,OTHER,Italia,2009-03-01,1304,5516
Chieti,OTHER,Paesi esteri,2009-03-01,94,865
L'Aquila,HOTELLIKE,Italia,2009-03-01,31055,108862
L'Aquila,HOTELLIKE,Paesi esteri,2009-03-01,856,3606
L'Aquila,OTHER,Italia,2009-03-01,2423,8101
L'Aquila,OTHER,Paesi esteri,2009-03-01,79,358
Pescara,HOTELLIKE,Italia,2009-03-01,18665,34336
Pescara,HOTELLIKE,Paesi esteri,2009-03-01,2106,7600
Pescara,OTHER,Italia,2009-03-01,688,2536
Pescara,OTHER,Paesi esteri,2009-03-01,59,295
Teramo,HOTELLIKE,Italia,2009-03-01,10670,26512
Teramo,HOTELLIKE,Paesi esteri,2009-03-01,1118,4103
Teramo,OTHER,Italia,2009-03-01,460,1280
Teramo,OTHER,Paesi esteri,2009-03-01,35,285
Abruzzo,HOTELLIKE,Italia,2009-04-01,47021,143484
Abruzzo,HOTELLIKE,Paesi esteri,2009-04-01,6786,23713
Abruzzo,OTHER,Italia,2009-04-01,3781,16289
Abruzzo,OTHER,Paesi esteri,2009-04-01,829,3178
Chieti,HOTELLIKE,Italia,2009-04-01,12076,34398
Chieti,HOTELLIKE,Paesi esteri,2009-04-01,1731,5315
Chieti,OTHER,Italia,2009-04-01,1225,6404
Chieti,OTHER,Paesi esteri,2009-04-01,280,1150
L'Aquila,HOTELLIKE,Italia,2009-04-01,8860,35862
L'Aquila,HOTELLIKE,Paesi esteri,2009-04-01,870,3241
L'Aquila,OTHER,Italia,2009-04-01,781,2991
L'Aquila,OTHER,Paesi esteri,2009-04-01,107,385
Pescara,HOTELLIKE,Italia,2009-04-01,15119,33818
Pescara,HOTELLIKE,Paesi esteri,2009-04-01,2869,8800
Pescara,OTHER,Italia,2009-04-01,674,2971
Pescara,OTHER,Paesi esteri,2009-04-01,118,505
Teramo,HOTELLIKE,Italia,2009-04-01,10966,39406
Teramo,HOTELLIKE,Paesi esteri,2009-04-01,1316,6357
Teramo,OTHER,Italia,2009-04-01,1101,3923
Teramo,OTHER,Paesi esteri,2009-04-01,324,1138
Abruzzo,HOTELLIKE,Italia,2009-05-01,63356,193703
Abruzzo,HOTELLIKE,Paesi esteri,2009-05-01,10583,39165
Abruzzo,OTHER,Italia,2009-05-01,10757,41573
Abruzzo,OTHER,Paesi esteri,2009-05-01,3365,17808
Chieti,HOTELLIKE,Italia,2009-05-01,16037,43811
Chieti,HOTELLIKE,Paesi esteri,2009-05-01,2369,7222
Chieti,OTHER,Italia,2009-05-01,2004,8886
Chieti,OTHER,Paesi esteri,2009-05-01,340,1822
L'Aquila,HOTELLIKE,Italia,2009-05-01,10232,43358
L'Aquila,HOTELLIKE,Paesi esteri,2009-05-01,1239,3948
L'Aquila,OTHER,Italia,2009-05-01,1004,3250
L'Aquila,OTHER,Paesi esteri,2009-05-01,274,636
Pescara,HOTELLIKE,Italia,2009-05-01,20128,47257
Pescara,HOTELLIKE,Paesi esteri,2009-05-01,3161,10954
Pescara,OTHER,Italia,2009-05-01,1134,4381
Pescara,OTHER,Paesi esteri,2009-05-01,177,1034
Teramo,HOTELLIKE,Italia,2009-05-01,16959,59277
Teramo,HOTELLIKE,Paesi esteri,2009-05-01,3814,17041
Teramo,OTHER,Italia,2009-05-01,6615,25056
Teramo,OTHER,Paesi esteri,2009-05-01,2574,14316
Abruzzo,HOTELLIKE,Italia,2009-06-01,91634,423060
Abruzzo,HOTELLIKE,Paesi esteri,2009-06-01,14867,81450
Abruzzo,OTHER,Italia,2009-06-01,26226,217425
Abruzzo,OTHER,Paesi esteri,2009-06-01,4947,38907
Chieti,HOTELLIKE,Italia,2009-06-01,19673,72750
Chieti,HOTELLIKE,Paesi esteri,2009-06-01,3392,12238
Chieti,OTHER,Italia,2009-06-01,4794,31183
Chieti,OTHER,Paesi esteri,2009-06-01,478,2406
L'Aquila,HOTELLIKE,Italia,2009-06-01,15369,68665
L'Aquila,HOTELLIKE,Paesi esteri,2009-06-01,1756,7304
L'Aquila,OTHER,Italia,2009-06-01,1343,5035
L'Aquila,OTHER,Paesi esteri,2009-06-01,433,1121
Pescara,HOTELLIKE,Italia,2009-06-01,21448,72115
Pescara,HOTELLIKE,Paesi esteri,2009-06-01,3876,15746
Pescara,OTHER,Italia,2009-06-01,1262,5702
Pescara,OTHER,Paesi esteri,2009-06-01,320,1905
Teramo,HOTELLIKE,Italia,2009-06-01,35144,209530
Teramo,HOTELLIKE,Paesi esteri,2009-06-01,5843,46162
Teramo,OTHER,Italia,2009-06-01,18827,175505
Teramo,OTHER,Paesi esteri,2009-06-01,3716,33475
Abruzzo,HOTELLIKE,Italia,2009-07-01,122812,718764
Abruzzo,HOTELLIKE,Paesi esteri,2009-07-01,19603,118979
Abruzzo,OTHER,Italia,2009-07-01,40881,465843
Abruzzo,OTHER,Paesi esteri,2009-07-01,9614,87396
Chieti,HOTELLIKE,Italia,2009-07-01,26843,122002
Chieti,HOTELLIKE,Paesi esteri,2009-07-01,3881,17818
Chieti,OTHER,Italia,2009-07-01,7832,92857
Chieti,OTHER,Paesi esteri,2009-07-01,944,6970
L'Aquila,HOTELLIKE,Italia,2009-07-01,25831,137137
L'Aquila,HOTELLIKE,Paesi esteri,2009-07-01,2301,9934
L'Aquila,OTHER,Italia,2009-07-01,3385,12000
L'Aquila,OTHER,Paesi esteri,2009-07-01,605,1570
Pescara,HOTELLIKE,Italia,2009-07-01,24711,105132
Pescara,HOTELLIKE,Paesi esteri,2009-07-01,5697,24019
Pescara,OTHER,Italia,2009-07-01,1440,5898
Pescara,OTHER,Paesi esteri,2009-07-01,574,4103
Teramo,HOTELLIKE,Italia,2009-07-01,45427,354493
Teramo,HOTELLIKE,Paesi esteri,2009-07-01,7724,67208
Teramo,OTHER,Italia,2009-07-01,28224,355088
Teramo,OTHER,Paesi esteri,2009-07-01,7491,74753
Abruzzo,HOTELLIKE,Italia,2009-08-01,162101,892086
Abruzzo,HOTELLIKE,Paesi esteri,2009-08-01,15122,81391
Abruzzo,OTHER,Italia,2009-08-01,67257,737960
Abruzzo,OTHER,Paesi esteri,2009-08-01,8296,72204
Chieti,HOTELLIKE,Italia,2009-08-01,33282,142331
Chieti,HOTELLIKE,Paesi esteri,2009-08-01,3119,13546
Chieti,OTHER,Italia,2009-08-01,13581,174493
Chieti,OTHER,Paesi esteri,2009-08-01,818,6328
L'Aquila,HOTELLIKE,Italia,2009-08-01,38344,187856
L'Aquila,HOTELLIKE,Paesi esteri,2009-08-01,1610,7152
