Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Italia,ALL,Paesi esteri,2017-12-01,2091152,5924667
Abruzzo,ALL,Paesi esteri,2018-01-01,4748,12984
Italia,ALL,Paesi esteri,2018-01-01,2276705,7510895
Abruzzo,ALL,Paesi esteri,2018-02-01,5497,17294
Italia,ALL,Paesi esteri,2018-02-01,2790174,9199609
Abruzzo,ALL,Paesi esteri,2018-03-01,6810,19428
Italia,ALL,Paesi esteri,2018-03-01,3832087,11582920
Abruzzo,ALL,Paesi esteri,2018-04-01,11637,33022
Italia,ALL,Paesi esteri,2018-04-01,4843554,13740228
Abruzzo,ALL,Paesi esteri,2018-05-01,23241,80450
Italia,ALL,Paesi esteri,2018-05-01,7175532,22525409
Abruzzo,ALL,Paesi esteri,2018-06-01,29797,130681
Italia,ALL,Paesi esteri,2018-06-01,7301385,25124590
Abruzzo,ALL,Paesi esteri,2018-07-01,41757,235001
Italia,ALL,Paesi esteri,2018-07-01,9254700,37172258
Abruzzo,ALL,Paesi esteri,2018-08-01,30000,169624
Italia,ALL,Paesi esteri,2018-08-01,8184584,34202056
Abruzzo,ALL,Paesi esteri,2018-09-01,24448,104861
Italia,ALL,Paesi esteri,2018-09-01,7650779,26653203
Abruzzo,ALL,Paesi esteri,2018-10-01,12169,33897
Italia,ALL,Paesi esteri,2018-10-01,5284777,16059287
Abruzzo,ALL,Paesi esteri,2018-11-01,6002,16386
Italia,ALL,Paesi esteri,2018-11-01,2381788,6297548
Abruzzo,ALL,Paesi esteri,2018-12-01,5082,14206
Italia,ALL,Paesi esteri,2018-12-01,2219138,6442543
Abruzzo,ALL,Paesi esteri,2019-01-01,4557,12132
Italia,ALL,Paesi esteri,2019-01-01,2262108,7714490
Abruzzo,ALL,Paesi esteri,2019-02-01,4946,13514
Italia,ALL,Paesi esteri,2019-02-01,2715813,9104567
Abruzzo,ALL,Paesi esteri,2019-03-01,6503,17391
Italia,ALL,Paesi esteri,2019-03-01,3530542,10676286
Abruzzo,ALL,Paesi esteri,2019-04-01,10518,28066
Italia,ALL,Paesi esteri,2019-04-01,5364922,15434020
Abruzzo,ALL,Paesi esteri,2019-05-01,20295,56980
Italia,ALL,Paesi esteri,2019-05-01,6504813,19119127
Abruzzo,ALL,Paesi esteri,2019-06-01,30228,138142
Italia,ALL,Paesi esteri,2019-06-01,8288881,29546392
Abruzzo,ALL,Paesi esteri,2019-07-01,37590,205216
Italia,ALL,Paesi esteri,2019-07-01,9254845,36894448
Abruzzo,ALL,Paesi esteri,2019-08-01,30026,153511
Italia,ALL,Paesi esteri,2019-08-01,8550183,34216463
Abruzzo,ALL,Paesi esteri,2019-09-01,24780,102198
Italia,ALL,Paesi esteri,2019-09-01,7865931,27364221
Abruzzo,ALL,Paesi esteri,2019-10-01,12488,36485
Italia,ALL,Paesi esteri,2019-10-01,5781203,17262656
Abruzzo,ALL,Paesi esteri,2019-11-01,5646,15826
Italia,ALL,Paesi esteri,2019-11-01,2493455,6474246
Abruzzo,ALL,Paesi esteri,2019-12-01,5126,14007
Italia,ALL,Paesi esteri,2019-12-01,2397524,6855768
Abruzzo,ALL,Paesi esteri,2020-01-01,4454,12882
Italia,ALL,Paesi esteri,2020-01-01,2407042,7883291
Abruzzo,ALL,Paesi esteri,2020-02-01,4648,13349
Italia,ALL,Paesi esteri,2020-02-01,2528443,9108104
Abruzzo,ALL,Paesi esteri,2020-03-01,594,3379
Italia,ALL,Paesi esteri,2020-03-01,212403,1179394
Abruzzo,ALL,Paesi esteri,2020-04-01,41,1425
Italia,ALL,Paesi esteri,2020-04-01,6965,231930
Abruzzo,ALL,Paesi esteri,2020-05-01,192,1626
Italia,ALL,Paesi esteri,2020-05-01,27924,317651
Abruzzo,ALL,Paesi esteri,2020-06-01,2955,9046
Italia,ALL,Paesi esteri,2020-06-01,590763,2067938
Abruzzo,ALL,Paesi esteri,2020-07-01,12924,56999
Italia,ALL,Paesi esteri,2020-07-01,2533198,10573134
Abruzzo,ALL,Paesi esteri,2020-08-01,14454,61596
Italia,ALL,Paesi esteri,2020-08-01,3620892,15438100
Abruzzo,ALL,Paesi esteri,2020-09-01,12649,47992
Italia,ALL,Paesi esteri,2020-09-01,3052867,12690217
Abruzzo,ALL,Paesi esteri,2020-10-01,5939,16891
Italia,ALL,Paesi esteri,2020-10-01,1295991,4776369
Abruzzo,ALL,Paesi esteri,2020-11-01,893,4386
Italia,ALL,Paesi esteri,2020-11-01,126865,650492
Abruzzo,ALL,Paesi esteri,2020-12-01,629,3282
Italia,ALL,Paesi esteri,2020-12-01,108558,526987
Abruzzo,ALL,Paesi esteri,2021-01-01,838,3387
Italia,ALL,Paesi esteri,2021-01-01,114083,502362
Abruzzo,ALL,Paesi esteri,2021-02-01,903,3685
Italia,ALL,Paesi esteri,2021-02-01,169612,640089
Abruzzo,ALL,Paesi esteri,2021-03-01,1214,4231
Italia,ALL,Paesi esteri,2021-03-01,150452,644179
Abruzzo,ALL,Paesi esteri,2021-04-01,1074,4320
Italia,ALL,Paesi esteri,2021-04-01,153573,647209
Abruzzo,ALL,Paesi esteri,2021-05-01,4828,13752
Italia,ALL,Paesi esteri,2021-05-01,993769,3486527
Abruzzo,ALL,Paesi esteri,2021-06-01,11889,45901
Italia,ALL,Paesi esteri,2021-06-01,2400883,9492166
Abruzzo,ALL,Paesi esteri,2021-07-01,29335,133047
Italia,ALL,Paesi esteri,2021-07-01,5585175,22608440
Abruzzo,ALL,Paesi esteri,2021-08-01,24792,119959
Italia,ALL,Paesi esteri,2021-08-01,6120327,27216979
Abruzzo,ALL,Paesi esteri,2021-09-01,21564,92646
Italia,ALL,Paesi esteri,2021-09-01,4984311,20574732
Abruzzo,ALL,Paesi esteri,2021-10-01,9482,30540
Italia,ALL,Paesi esteri,2021-10-01,3697043,11802436
Abruzzo,ALL,Paesi esteri,2021-11-01,3817,11277
Italia,ALL,Paesi esteri,2021-11-01,1335662,4250595
Abruzzo,ALL,Paesi esteri,2021-12-01,2995,8732
Italia,ALL,Paesi esteri,2021-12-01,1198327,4257461
