Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
L'Aquila,HOTELLIKE,Italia,2014,261525.0,744023.0
L'Aquila,HOTELLIKE,Paesi esteri,2014,22083.0,66120.0
L'Aquila,OTHER,Italia,2014,47233.0,132011.0
L'Aquila,OTHER,Paesi esteri,2014,6143.0,24558.0
Pescara,HOTELLIKE,Italia,2014,244133.0,743049.0
Pescara,HOTELLIKE,Paesi esteri,2014,37453.0,125296.0
Pescara,OTHER,Italia,2014,11959.0,31988.0
Pescara,OTHER,Paesi esteri,2014,3217.0,20472.0
Teramo,HOTELLIKE,Italia,2014,286125.0,1460756.0
Teramo,HOTELLIKE,Paesi esteri,2014,40010.0,247426.0
Teramo,OTHER,Italia,2014,147087.0,1387939.0
Teramo,OTHER,Paesi esteri,2014,32721.0,277610.0
Abruzzo,HOTELLIKE,Italia,2015,1088992.0,3571431.0
Abruzzo,HOTELLIKE,Paesi esteri,2015,126294.0,493449.0
Abruzzo,OTHER,Italia,2015,258456.0,1779139.0
Abruzzo,OTHER,Paesi esteri,2015,48345.0,333211.0
Chieti,HOTELLIKE,Italia,2015,198273.0,500738.0
Chieti,HOTELLIKE,Paesi esteri,2015,26835.0,81108.0
Chieti,OTHER,Italia,2015,44482.0,285883.0
Chieti,OTHER,Paesi esteri,2015,4782.0,23378.0
L'Aquila,HOTELLIKE,Italia,2015,308555.0,782269.0
L'Aquila,HOTELLIKE,Paesi esteri,2015,20049.0,52668.0
L'Aquila,OTHER,Italia,2015,56346.0,138336.0
L'Aquila,OTHER,Paesi esteri,2015,6921.0,21497.0
Pescara,HOTELLIKE,Italia,2015,251525.0,711178.0
Pescara,HOTELLIKE,Paesi esteri,2015,37370.0,115554.0
Pescara,OTHER,Italia,2015,14614.0,40458.0
Pescara,OTHER,Paesi esteri,2015,4336.0,19327.0
Teramo,HOTELLIKE,Italia,2015,330639.0,1577246.0
Teramo,HOTELLIKE,Paesi esteri,2015,42040.0,244119.0
Teramo,OTHER,Italia,2015,143014.0,1314462.0
Teramo,OTHER,Paesi esteri,2015,32306.0,269009.0
Abruzzo,HOTELLIKE,Italia,2016,1069453.0,3486084.0
Abruzzo,HOTELLIKE,Paesi esteri,2016,136995.0,521763.0
Abruzzo,OTHER,Italia,2016,266265.0,1758227.0
Abruzzo,OTHER,Paesi esteri,2016,53739.0,353029.0
Chieti,HOTELLIKE,Italia,2016,202937.0,478856.0
Chieti,HOTELLIKE,Paesi esteri,2016,28958.0,79157.0
Chieti,OTHER,Italia,2016,45799.0,258555.0
Chieti,OTHER,Paesi esteri,2016,6453.0,30221.0
L'Aquila,HOTELLIKE,Italia,2016,276603.0,707194.0
L'Aquila,HOTELLIKE,Paesi esteri,2016,18858.0,51533.0
L'Aquila,OTHER,Italia,2016,55275.0,131299.0
L'Aquila,OTHER,Paesi esteri,2016,8012.0,21897.0
Pescara,HOTELLIKE,Italia,2016,276933.0,744939.0
Pescara,HOTELLIKE,Paesi esteri,2016,45726.0,134549.0
Pescara,OTHER,Italia,2016,21941.0,51866.0
Pescara,OTHER,Paesi esteri,2016,5187.0,23771.0
Teramo,HOTELLIKE,Italia,2016,312980.0,1555095.0
Teramo,HOTELLIKE,Paesi esteri,2016,43453.0,256524.0
Teramo,OTHER,Italia,2016,143250.0,1316507.0
Teramo,OTHER,Paesi esteri,2016,34087.0,277140.0
Abruzzo,HOTELLIKE,Italia,2017,1074883.0,3491153.0
Abruzzo,HOTELLIKE,Paesi esteri,2017,133864.0,507821.0
Abruzzo,OTHER,Italia,2017,284180.0,1836656.0
Abruzzo,OTHER,Paesi esteri,2017,55726.0,357843.0
Chieti,HOTELLIKE,Italia,2017,210317.0,496548.0
Chieti,HOTELLIKE,Paesi esteri,2017,27687.0,77207.0
Chieti,OTHER,Italia,2017,54306.0,352011.0
Chieti,OTHER,Paesi esteri,2017,7087.0,30758.0
L'Aquila,HOTELLIKE,Italia,2017,266703.0,662194.0
L'Aquila,HOTELLIKE,Paesi esteri,2017,19660.0,57995.0
L'Aquila,OTHER,Italia,2017,52961.0,121371.0
L'Aquila,OTHER,Paesi esteri,2017,6330.0,18248.0
Pescara,HOTELLIKE,Italia,2017,280283.0,749566.0
Pescara,HOTELLIKE,Paesi esteri,2017,46130.0,137920.0
Pescara,OTHER,Italia,2017,20643.0,50450.0
Pescara,OTHER,Paesi esteri,2017,5742.0,19818.0
Teramo,HOTELLIKE,Italia,2017,317580.0,1582845.0
Teramo,HOTELLIKE,Paesi esteri,2017,40387.0,234699.0
Teramo,OTHER,Italia,2017,156270.0,1312824.0
Teramo,OTHER,Paesi esteri,2017,36567.0,289019.0
Abruzzo,HOTELLIKE,Italia,2018,1143294.0,3633436.0
Abruzzo,HOTELLIKE,Paesi esteri,2018,143819.0,520794.0
Abruzzo,OTHER,Italia,2018,298605.0,1833802.0
Abruzzo,OTHER,Paesi esteri,2018,57369.0,347040.0
Chieti,HOTELLIKE,Italia,2018,212322.0,539245.0
Chieti,HOTELLIKE,Paesi esteri,2018,28255.0,79025.0
Chieti,OTHER,Italia,2018,58275.0,391621.0
Chieti,OTHER,Paesi esteri,2018,8527.0,35440.0
L'Aquila,HOTELLIKE,Italia,2018,298059.0,707319.0
L'Aquila,HOTELLIKE,Paesi esteri,2018,22497.0,55936.0
L'Aquila,OTHER,Italia,2018,60744.0,138269.0
L'Aquila,OTHER,Paesi esteri,2018,7655.0,18327.0
Pescara,HOTELLIKE,Italia,2018,302581.0,819911.0
Pescara,HOTELLIKE,Paesi esteri,2018,49455.0,142213.0
Pescara,OTHER,Italia,2018,22802.0,54545.0
Pescara,OTHER,Paesi esteri,2018,6654.0,22725.0
Teramo,HOTELLIKE,Italia,2018,330332.0,1566961.0
Teramo,HOTELLIKE,Paesi esteri,2018,43612.0,243620.0
Teramo,OTHER,Italia,2018,156784.0,1249367.0
Teramo,OTHER,Paesi esteri,2018,34533.0,270548.0
Abruzzo,HOTELLIKE,Italia,2019,1146193.0,3552244.0
Abruzzo,HOTELLIKE,Paesi esteri,2019,138711.0,489616.0
Abruzzo,OTHER,Italia,2019,304270.0,1830990.0
Abruzzo,OTHER,Paesi esteri,2019,53992.0,303852.0
Chieti,HOTELLIKE,Italia,2019,202935.0,471949.0
Chieti,HOTELLIKE,Paesi esteri,2019,26275.0,71344.0
Chieti,OTHER,Italia,2019,61063.0,370183.0
Chieti,OTHER,Paesi esteri,2019,9297.0,35323.0
L'Aquila,HOTELLIKE,Italia,2019,310733.0,752986.0
L'Aquila,HOTELLIKE,Paesi esteri,2019,21972.0,57003.0
L'Aquila,OTHER,Italia,2019,63590.0,144627.0
L'Aquila,OTHER,Paesi esteri,2019,7466.0,18600.0
